0: "NOUN ADP NOUN"
51: "VERB NOUN PRT NOUN ADP NOUN PART NOUN PART VERB PUNCT AUX PRON VERB DET ADJ NOUN ADP DET NOUN PUNCT PUNCT"
52: "PRON AUX ADV NUM NOUN PRON AUX VERB ADV CONJ DET AUX ADP DET NOUN PUNCT ADV PRON AUX VERB PRON PUNCT PUNCT"
53: "ADV PUNCT NOUN ADV VERB PRON PUNCT"
54: "DET NOUN PUNCT NOUN NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT PUNCT"
55: "DET AUX VERB ADP DET NOUN ADP ADJ NOUN PUNCT DET AUX ADP ADJ NOUN CONJ DET AUX NOUN PUNCT"
56: "CONJ NOUN NOUN PUNCT NOUN PUNCT"
57: "ADP NOUN NOUN PUNCT DET NOUN VERB DET ADJ NOUN ADP NOUN ADV ADP DET NOUN ADP DET ADJ NOUN ADP DET NOUN PUNCT"
61: "NOUN AUX ADV VERB DET ADJ NOUN ADP DET NUM PUNCT PRON NOUN ADP NOUN CONJ NOUN VERB DET ADP ADJ NOUN CONJ NOUN CONJ NOUN VERB DET NOUN PUNCT"
64: "PRON AUX VERB DET ADJ NOUN ADP DET NOUN PUNCT"
65: "ADP DET NOUN AUX ADV DET NOUN ADP DET ADJ NOUN ADP DET NOUN CONJ NOUN PUNCT"
71: "ADP DET NOUN CONJ NOUN PUNCT PRON AUX VERB ADP NOUN CONJ VERB DET NOUN ADP DET NOUN NOUN ADP DET NOUN PUNCT"
73: "ADJ NOUN AUX VERB PRT VERB ADJ ADP NOUN NOUN PUNCT"
76: "PRON AUX DET ADJ NOUN ADP NOUN ADP DET VERB ADP DET ADJ NOUN NOUN AUX VERB VERB PUNCT"
77: "ADV NUM PUNCT NUM NOUN PUNCT VERB DET ADJ NOUN ADV PART ADJ ADP DET NOUN PUNCT"
78: "VERB DET NOUN ADP DET NOUN AUX ADV VERB ADV VERB ADP DET NOUN ADP DET NOUN NOUN PUNCT"
80: "PUNCT"
83: "NOUN AUX VERB ADV PRT NOUN AUX ADJ ADP DET NOUN NOUN CONJ VERB ADV ADP DET NOUN PRON AUX VERB PRT DET NOUN PRON AUX VERB PUNCT"
86: "NOUN CONJ NOUN AUX VERB ADP ADJ NOUN PUNCT DET ADJ NOUN AUX VERB ADP ADJ NOUN PUNCT"
87: "ADV PRON VERB ADV PRT VERB PUNCT VERB ADV ADP DET ADJ NOUN PUNCT"
